year,sockeye,coho,pink,chum,area
2016,2657452.00,149127.00,482108.00,197922.00,cook.inlet
2017,2141956.00,317356.00,2161699.00,442708.00,cook.inlet
2018,1184976.00,236066.00,1690684.00,178411.00,cook.inlet
2019,1975333.00,158584.00,2048406.00,178621.00,cook.inlet
2020,877000.00,143000.00,2861000.00,43000.00,cook.inlet
2021,1680215.00,150991.00,2052708.00,97673.00,cook.inlet
2022,1419113.00,103630.00,503999.00,153262.00,cook.inlet
2023,1927183.00,84769.00,2730690.00,166591.00,cook.inlet
2024,2013787.00,25310.00,55735.00,75662.00,cook.inlet
1882,58800.00,NA,NA,NA,kodiak
1883,188706.00,NA,NA,NA,kodiak
1884,282184.00,NA,NA,NA,kodiak
1885,468580.00,NA,NA,NA,kodiak
1886,646100.00,NA,NA,NA,kodiak
1887,1004500.00,NA,NA,NA,kodiak
1888,2781100.00,NA,NA,NA,kodiak
1889,3754735.00,NA,NA,NA,kodiak
1890,3592707.00,NA,NA,NA,kodiak
1891,3846388.00,NA,NA,NA,kodiak
1892,3126459.00,NA,NA,NA,kodiak
1893,3244609.00,NA,NA,NA,kodiak
1894,3830336.00,NA,NA,NA,kodiak
1895,2246966.00,8321.00,NA,NA,kodiak
1896,3328846.00,NA,NA,NA,kodiak
1897,2785515.00,1500.00,NA,NA,kodiak
1898,2033094.00,19175.00,NA,NA,kodiak
1899,1934771.00,32475.00,NA,NA,kodiak
1900,3450480.00,32239.00,NA,NA,kodiak
1901,4826159.00,NA,2015.00,NA,kodiak
1902,3868101.00,34972.00,NA,NA,kodiak
1903,1826163.00,119541.00,10000.00,NA,kodiak
1904,2875118.00,103136.00,5180.00,NA,kodiak
1905,2142367.00,86913.00,NA,NA,kodiak
1906,3980462.00,23738.00,NA,NA,kodiak
1907,4232454.00,38059.00,NA,NA,kodiak
1908,2487848.00,73789.00,286374.00,NA,kodiak
1909,1915230.00,51500.00,153595.00,NA,kodiak
1910,1954717.00,44291.00,215382.00,NA,kodiak
1911,2685949.00,21870.00,229551.00,6492.00,kodiak
1912,2246467.00,17491.00,547171.00,24588.00,kodiak
1913,1663163.00,27634.00,590039.00,3822.00,kodiak
1914,1255444.00,32063.00,1726411.00,13094.00,kodiak
1915,1664426.00,51819.00,252073.00,20331.00,kodiak
1916,3373055.00,49683.00,3181890.00,28962.00,kodiak
1917,3645914.00,30485.00,225335.00,15961.00,kodiak
1918,1894466.00,78169.00,2467325.00,81699.00,kodiak
1919,1619101.00,104233.00,282715.00,60102.00,kodiak
1920,1957636.00,88970.00,1977421.00,55175.00,kodiak
1921,2857922.00,45764.00,67688.00,24779.00,kodiak
1922,1097359.00,119724.00,2766257.00,223970.00,kodiak
